source	accession	volume	family	title	element	h_cm	w_cm	l_cm	d_cm	diam_cm	n1_cm	n2_cm	n3_cm	weight_g	raw
cma	2022.101.a	core	bindings_codices	Leaf from a Psalter and Prayerbook: Rabbits Dancing (recto)	Overall						16.5	13.5			Overall: 16.5 x 13.5 cm (6 1/2 x 5 5/16 in.)
cma	2022.101	core	bindings_codices	Leaf from a Psalter and Prayerbook: Rabbits Dancing (recto) 	Sheet						16.5	13.5			Sheet: 16.5 x 13.5 cm (6 1/2 x 5 5/16 in.)
cma	1961.10.2	core	winds	Figure of the Bagpiper (Le Joueur de musette)	Overall						22.9	13.4	8.0		Overall: 22.9 x 13.4 x 8 cm (9 x 5 1/4 x 3 1/8 in.)
cma	2010.448	core	winds	Oliphant (Side-Blown Trumpet)	Overall						32.0	4.0	6.0		Overall: 32 x 4 x 6 cm (12 5/8 x 1 9/16 x 2 3/8 in.)
cma	1930.740	core	winds	The So-called Horn of Saint Blaise	Overall						12.0				Overall: 12 cm (4 3/4 in.)
cma	1976.130	core	winds	Angel Blowing a Trumpet	Sheet						44.1	54.0			Sheet: 44.1 x 54 cm (17 3/8 x 21 1/4 in.)
cma	1918.389	core	winds	Thighbone Trumpet	Overall						7.0				Overall: 7 cm (2 3/4 in.)
cma	1966.127	core	winds	Conch Shell Trumpet Vessel	Overall						15.5	23.5	26.6		Overall: 15.5 x 23.5 x 26.6 cm (6 1/8 x 9 1/4 x 10 1/2 in.)
cma	1998.93	core	winds	Side-Blown Trumpet	Overall						38.0				Overall: 38 cm (14 15/16 in.)
cma	1977.21	core	winds	page from the Apocalypse (The Locusts with the Angel of the 	Mat Size						48.8	36.3			Mat Size: 48.8 x 36.3 cm (19 3/16 x 14 5/16 in.); Sheet: 26.5 x 19.3 cm (10 7/16 x 7 5/8 in.)
cma	1977.21	core	winds	page from the Apocalypse (The Locusts with the Angel of the 	Sheet						26.5	19.3			Mat Size: 48.8 x 36.3 cm (19 3/16 x 14 5/16 in.); Sheet: 26.5 x 19.3 cm (10 7/16 x 7 5/8 in.)
cma	1944.228.4	thief	cups_tankards	Tea Cup	Overall						5.5	7.2			Overall: 5.5 x 7.2 cm (2 3/16 x 2 13/16 in.)
cma	1944.228.3	thief	cups_tankards	Tea Cup	Overall						5.3	7.4			Overall: 5.3 x 7.4 cm (2 1/16 x 2 15/16 in.)
cma	1929.911.a	core	winds	Tetradrachm: Nike on Ship's Prow, Blowing Trumpet (obverse)	Diameter						3.0				Diameter: 3 cm (1 3/16 in.)
cma	1960.78	thief	cups_tankards	Wine Cups (Jue)	Overall						20.3	19.7			Overall: 20.3 x 19.7 cm (8 x 7 3/4 in.)
cma	1959.128	core	leaves_illumination	Christ in Majesty with the Virgin and Saint John the Evangel	Sheet						27.3	20.0			Sheet: 27.3 x 20 cm (10 3/4 x 7 7/8 in.)
cma	1992.3	core	maces_hammers	Poros Assailed by the Macedonian Army (recto); Sketches of A	Sheet						19.3	27.4			Sheet: 19.3 x 27.4 cm (7 5/8 x 10 13/16 in.); Secondary Support: 22.5 x 30.5 cm (8 7/8 x 12 in.)
cma	1992.3	core	maces_hammers	Poros Assailed by the Macedonian Army (recto); Sketches of A	Secondary Support						22.5	30.5			Sheet: 19.3 x 27.4 cm (7 5/8 x 10 13/16 in.); Secondary Support: 22.5 x 30.5 cm (8 7/8 x 12 in.)
cma	1992.3.a	core	maces_hammers	Poros Assailed by the Macedonian Army (recto)	Sheet						19.3	27.4			Sheet: 19.3 x 27.4 cm (7 5/8 x 10 13/16 in.); Secondary Support: 22.5 x 30.5 cm (8 7/8 x 12 in.)
cma	1992.3.a	core	maces_hammers	Poros Assailed by the Macedonian Army (recto)	Secondary Support						22.5	30.5			Sheet: 19.3 x 27.4 cm (7 5/8 x 10 13/16 in.); Secondary Support: 22.5 x 30.5 cm (8 7/8 x 12 in.)
cma	1929.343	core	percussion	Drum (ngoma)	Diameter						31.2				Diameter: 31.2 cm (12 5/16 in.); Overall: 40 cm (15 3/4 in.)
cma	1929.343	core	percussion	Drum (ngoma)	Overall						40.0				Diameter: 31.2 cm (12 5/16 in.); Overall: 40 cm (15 3/4 in.)
cma	1938.9	core	winds	Cranes and Serpents	Overall						132.1	124.5			Overall: 132.1 x 124.5 cm (52 x 49 in.)
cma	1941.548	core	percussion	Handle of a Jiangu Drum	Overall						9.0				Overall: 9 cm (3 9/16 in.)
cma	2022.37	core	percussion	Painted Drum	Overall						27.0	28.0	12.0		Overall: 27 x 28 x 12 cm (10 5/8 x 11 x 4 3/4 in.)
cma	1918.391	core	percussion	Ritual Drum (damaru)	Overall						20.4	17.8	13.1		Overall: 20.4 x 17.8 x 13.1 cm (8 1/16 x 7 x 5 3/16 in.)
cma	1918.349	core	percussion	Tsuzumi Drum	Diameter						20.4				Diameter: 20.4 cm (8 1/16 in.); Overall: 25.4 cm (10 in.)
cma	1918.349	core	percussion	Tsuzumi Drum	Overall						25.4				Diameter: 20.4 cm (8 1/16 in.); Overall: 25.4 cm (10 in.)
cma	2002.33	core	percussion	Child with Drum	Image						8.3	7.0			Image: 8.3 x 7 cm (3 1/4 x 2 3/4 in.); Case: 12.7 x 10.5 cm (5 x 4 1/8 in.); Matted: 61 x 50.8 cm (24 x 20 in.)
cma	2002.33	core	percussion	Child with Drum	Case						12.7	10.5			Image: 8.3 x 7 cm (3 1/4 x 2 3/4 in.); Case: 12.7 x 10.5 cm (5 x 4 1/8 in.); Matted: 61 x 50.8 cm (24 x 20 in.)
cma	2002.33	core	percussion	Child with Drum	Matted						61.0	50.8			Image: 8.3 x 7 cm (3 1/4 x 2 3/4 in.); Case: 12.7 x 10.5 cm (5 x 4 1/8 in.); Matted: 61 x 50.8 cm (24 x 20 in.)
cma	1969.266	core	percussion	Gold Weight (abrammuo): Drum with Jaws of Defeated Enemies	Overall						3.6	5.3			Overall: 3.6 x 5.3 cm (1 7/16 x 2 1/16 in.)
cma	2010.617	core	percussion	London Types: The Drum Major	Sheet						32.4	26.4			Sheet: 32.4 x 26.4 cm (12 3/4 x 10 3/8 in.); Image: 25.4 x 22.9 cm (10 x 9 in.)
